datetime,station_antwerp,station_paris,station_london
2019-05-07 2:00,,,23
2019-05-07 3:00,50.5,25,19
2019-05-07 4:00,45,27.7,19
2019-05-07 5:00,,50.4,16
2019-05-07 6:00,,61.9,
2019-05-07 7:00,,72.4,26
2019-05-07 8:00,,77.7,32
2019-05-07 9:00,,67.9,32
2019-05-07 10:00,,56,28
2019-05-07 11:00,,34.5,21
2019-05-07 12:00,,20.1,21
2019-05-07 13:00,,13,18
2019-05-07 14:00,,10.6,20
2019-05-07 15:00,,13.2,18
2019-05-07 16:00,,11,20
2019-05-07 17:00,,11.7,20
2019-05-07 18:00,,18.2,21
2019-05-07 19:00,,22.3,20
2019-05-07 20:00,,21.4,20
2019-05-07 21:00,,26.8,24
2019-05-07 22:00,,36.2,24
2019-05-07 23:00,,33.9,
2019-05-08 0:00,,35.8,24
2019-05-08 1:00,,34,19
2019-05-08 2:00,,22.1,19
2019-05-08 3:00,23,19.6,20
2019-05-08 4:00,20.5,15.3,20
2019-05-08 5:00,,13.5,19
2019-05-08 6:00,,15.5,19
2019-05-08 7:00,,19.3,29
2019-05-08 8:00,,21.7,34
2019-05-08 9:00,,19.5,36
2019-05-08 10:00,,17,33
2019-05-08 11:00,,19.7,28
2019-05-08 12:00,,33.4,27
2019-05-08 13:00,,21.4,26
2019-05-08 14:00,,15.1,26
2019-05-08 15:00,,14.3,24
2019-05-08 16:00,,25.3,27
2019-05-08 17:00,,26,28
2019-05-08 18:00,,38.6,31
2019-05-08 19:00,,29.3,40
2019-05-08 20:00,,27.8,25
2019-05-08 21:00,,41.3,29
2019-05-08 22:00,,38.3,26
2019-05-08 23:00,,48.9,
2019-05-09 0:00,,32.2,25
2019-05-09 1:00,,25.2,30
2019-05-09 2:00,,14.7,
2019-05-09 3:00,20,10.6,31
2019-05-09 4:00,20.5,10,31
2019-05-09 5:00,,10.4,33
2019-05-09 6:00,,15.3,33
2019-05-09 7:00,,34.5,33
2019-05-09 8:00,,50.7,33
2019-05-09 9:00,,49,35
2019-05-09 10:00,,32.2,36
2019-05-09 11:00,,32.3,28
2019-05-09 12:00,,43.1,27
2019-05-09 13:00,,34.2,30
2019-05-09 14:00,,35.1,27
2019-05-09 15:00,,21.3,34
2019-05-09 16:00,,24.6,97
2019-05-09 17:00,,23.9,67
2019-05-09 18:00,,27,60
2019-05-09 19:00,,29.9,58
2019-05-09 20:00,,24.4,62
2019-05-09 21:00,,23.8,59
2019-05-09 22:00,,29.2,65
2019-05-09 23:00,,34.5,59
2019-05-10 0:00,,29.7,59
2019-05-10 1:00,,26.7,52
2019-05-10 2:00,,22.7,52
2019-05-10 3:00,10.5,19.1,41
2019-05-10 4:00,11.5,14.1,41
2019-05-10 5:00,,15,40
2019-05-10 6:00,,20.5,40
2019-05-10 7:00,,37.8,39
2019-05-10 8:00,,47.4,36
2019-05-10 9:00,,57.3,39
2019-05-10 10:00,,60.7,34
2019-05-10 11:00,,53.4,31
2019-05-10 12:00,,35.1,29
2019-05-10 13:00,,23.2,28
2019-05-10 14:00,,25.3,26
2019-05-10 15:00,,22,25
2019-05-10 16:00,,29.3,25
2019-05-10 17:00,,29.6,24
2019-05-10 18:00,,30.8,26
2019-05-10 19:00,,37.8,26
2019-05-10 20:00,,33.4,29
2019-05-10 21:00,,39.3,29
2019-05-10 22:00,,43.6,29
2019-05-10 23:00,,37,31
2019-05-11 0:00,,28.1,31
2019-05-11 1:00,,26,27
2019-05-11 2:00,,24.8,27
2019-05-11 3:00,26.5,15.5,32
2019-05-11 4:00,21,14.9,32
2019-05-11 5:00,,,35
2019-05-11 6:00,,,35
2019-05-11 7:00,,,30
2019-05-11 8:00,,28.9,30
2019-05-11 9:00,,29,27
2019-05-11 10:00,,32.1,30
2019-05-11 11:00,,35.7,
2019-05-11 12:00,,36.8,
2019-05-11 13:00,,33.2,
2019-05-11 14:00,,30.2,
2019-05-11 15:00,,30.8,
2019-05-11 16:00,,17.8,28
2019-05-11 17:00,,18,26
2019-05-11 18:00,,19.5,28
2019-05-11 19:00,,32,31
2019-05-11 20:00,,33.1,33
2019-05-11 21:00,,31.2,33
2019-05-11 22:00,,24.2,34
2019-05-11 23:00,,21.1,37
2019-05-12 0:00,,27.7,37
2019-05-12 1:00,,26.4,35
2019-05-12 2:00,,22.8,35
2019-05-12 3:00,17.5,19.2,38
2019-05-12 4:00,20,17.2,38
2019-05-12 5:00,,16,36
2019-05-12 6:00,,16.2,36
2019-05-12 7:00,,19.2,38
2019-05-12 8:00,,20.1,44
2019-05-12 9:00,,15.9,32
2019-05-12 10:00,,14.6,26
2019-05-12 11:00,,11.7,26
2019-05-12 12:00,,11.4,21
2019-05-12 13:00,,11.4,20
2019-05-12 14:00,,10.9,19
2019-05-12 15:00,,8.7,21
2019-05-12 16:00,,9.1,22
2019-05-12 17:00,,9.6,23
2019-05-12 18:00,,11.7,24
2019-05-12 19:00,,13.9,22
2019-05-12 20:00,,18.2,22
2019-05-12 21:00,,19.5,22
2019-05-12 22:00,,24.1,21
2019-05-12 23:00,,34.2,22
2019-05-13 0:00,,46.5,22
2019-05-13 1:00,,32.5,22
2019-05-13 2:00,,25,22
2019-05-13 3:00,14.5,18.9,24
2019-05-13 4:00,14.5,18.5,24
2019-05-13 5:00,,18.9,33
2019-05-13 6:00,,25.1,33
2019-05-13 7:00,,38.3,39
2019-05-13 8:00,,45.2,39
2019-05-13 9:00,,41,31
2019-05-13 10:00,,32.1,29
2019-05-13 11:00,,20.6,27
2019-05-13 12:00,,12.8,26
2019-05-13 13:00,,9.6,24
2019-05-13 14:00,,9.2,25
2019-05-13 15:00,,10.1,26
2019-05-13 16:00,,10.7,28
2019-05-13 17:00,,10.6,29
2019-05-13 18:00,,12.1,30
2019-05-13 19:00,,13,30
2019-05-13 20:00,,15.5,31
2019-05-13 21:00,,23.9,31
2019-05-13 22:00,,28.3,31
2019-05-13 23:00,,30.4,31
2019-05-14 0:00,,27.3,31
2019-05-14 1:00,,22.8,23
2019-05-14 2:00,,20.9,23
2019-05-14 3:00,14.5,19.1,26
2019-05-14 4:00,11.5,19,26
2019-05-14 5:00,,22.1,30
2019-05-14 6:00,,31.6,30
2019-05-14 7:00,,38.6,33
2019-05-14 8:00,,46.1,34
2019-05-14 9:00,,41.3,33
2019-05-14 10:00,,28.8,30
2019-05-14 11:00,,19,31
2019-05-14 12:00,,12.9,27
2019-05-14 13:00,,11.3,25
2019-05-14 14:00,,10.2,25
2019-05-14 15:00,,11,25
2019-05-14 16:00,,15.2,29
2019-05-14 17:00,,13.4,32
2019-05-14 18:00,,15.3,33
2019-05-14 19:00,,17.7,30
2019-05-14 20:00,,17.9,28
2019-05-14 21:00,,23.3,27
2019-05-14 22:00,,28.4,25
2019-05-14 23:00,,29,26
2019-05-15 0:00,,30.9,26
2019-05-15 1:00,,24.3,22
2019-05-15 2:00,,18.8,
2019-05-15 3:00,25.5,17.2,22
2019-05-15 4:00,22.5,16.8,22
2019-05-15 5:00,,17.9,25
2019-05-15 6:00,,28.9,25
2019-05-15 7:00,,46.5,33
2019-05-15 8:00,,48.1,33
2019-05-15 9:00,,32.1,34
2019-05-15 10:00,,25.7,35
2019-05-15 11:00,,0,36
2019-05-15 12:00,,0,35
2019-05-15 13:00,,0,30
2019-05-15 14:00,,9.4,31
2019-05-15 15:00,,10,30
2019-05-15 16:00,,11.9,38
2019-05-15 17:00,,12.9,38
2019-05-15 18:00,,12.2,33
2019-05-15 19:00,,12.9,35
2019-05-15 20:00,,16.5,33
2019-05-15 21:00,,20.3,31
2019-05-15 22:00,,30.1,32
2019-05-15 23:00,,36,33
2019-05-16 0:00,,44.1,33
2019-05-16 1:00,,30.9,33
2019-05-16 2:00,,27.4,33
2019-05-16 3:00,28,26,28
2019-05-16 4:00,,26.7,28
2019-05-16 5:00,,27.9,26
2019-05-16 6:00,,37,26
2019-05-16 7:00,,52.6,33
2019-05-16 8:00,,,34
2019-05-16 9:00,,40,33
2019-05-16 10:00,,39.4,32
2019-05-16 11:00,,29.5,31
