LOT,NO,변환,생산량,제품명,코멘트,결점종류,X좌표,Y좌표,Y사이즈,X사이즈,사이즈,밸류,마킹레벨
20220324CC02022,1527,20220324CC020221527,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1282,285046,0.215,0.54,0.3775,53,10
20220324CC02022,1558,20220324CC020221558,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1247,423689,0.376,0.432,0.404,50,10
20220324CC02022,1568,20220324CC020221568,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1173,482118,0.537,0.324,0.4305,207,10
20220324CC02022,1603,20220324CC020221603,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1171,627055,0.269,0.378,0.3235,64,10
20220324CC02022,1618,20220324CC020221618,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1189,662696,0.376,0.432,0.404,60,10
20220324CC02022,1624,20220324CC020221624,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1240,676995,0.322,0.324,0.323,206,10
20220324CC02022,1628,20220324CC020221628,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1066,709533,0.269,0.378,0.3235,106,10
20220324CC02022,1649,20220324CC020221649,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1125,799537,0.269,0.432,0.3505,41,10
20220324CC02022,1683,20220324CC020221683,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1197,1011435,0.269,0.432,0.3505,35,10
20220324CC02022,1775,20220324CC020221775,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1236,1477002,0.161,0.54,0.3505,37,10
20220324CC02022,1863,20220324CC020221863,1512,W3.1 코팅 ON46 ALR4 AD5M S7,미분투과/미마킹,이물,1197,1489482,0.376,0.378,0.377,51,10
